0	719798-2081	0	47	-1	566527at33208_29073_0:004b6d|OV277441.1|-|422|4.046e-121|2|717718|719798|719798[719798]:719709[719709]:90[90]|718458[718443]:717718[717718]:741[726]
0	583909+24481	0	2102	1	261614at33208_9668_0:004598|OV277441.1|+|1369|0|13|583909|608389|583909[583909]:584169[584169]:261[261]|589217[589226]:589300[589300]:84[75]|605573[605573]:605731[605731]:159[159]|605809[605809]:605925[605925]:117[117]|605999[606002]:606106[606106]:108[105]|606171[606195]:606650[606650]:480[456]|606702[606726]:606806[606806]:105[81]|607011[607011]:607172[607172]:162[162]|607254[607254]:607433[607433]:180[180]|607504[607516]:607809[607809]:306[294]|607878[607890]:607970[607970]:93[81]|608025[608043]:608156[608156]:132[114]|608234[608240]:608389[608389]:156[150]
0	88632+483	0	2140	1	560453at33208_185453_0:000726|OV277441.1|+|278|9.022e-78|3|88632|89114|88632[88632]:88835[88835]:204[204]|88847[88847]:88972[88972]:126[126]|88986[88986]:89114[89114]:129[129]
0	715482-332	0	2239	-1	339127at33208_8355_0:004aeb|OV277441.1|-|149|6.14e-39|2|715151|715482|715482[715482]:715330[715330]:153[153]|715255[715249]:715151[715151]:105[99]
0	718416-5322	0	2465	-1	339127at33208_32536_0:000011|OV277441.1|-|1309|0|9|713095|718416|718416[718416]:717751[717751]:666[666]|716092[716092]:715826[715826]:267[267]|715482[715482]:715330[715330]:153[153]|715255[715249]:715136[715136]:120[114]|715073[715052]:714867[714867]:207[186]|714802[714778]:714587[714587]:216[192]|714499[714493]:714341[714341]:159[153]|714178[714178]:713735[713735]:444[444]|713664[713661]:713095[713095]:570[567]
0	362818+5192	0	2552	1	367596at33208_9668_0:0045cb|OV277441.1|+|1682|0|14|362818|368009|362818[362818]:363342[363342]:525[525]|363429[363435]:363536[363536]:108[102]|363580[363607]:363969[363969]:390[363]|364059[364071]:364202[364202]:144[132]|364287[364287]:364382[364382]:96[96]|364453[364456]:364737[364737]:285[282]|365123[365123]:365653[365653]:531[531]|365722[365725]:365886[365886]:165[162]|365937[365964]:366206[366206]:270[243]|366269[366302]:366586[366586]:318[285]|366877[366877]:367053[367053]:177[177]|367125[367131]:367370[367370]:246[240]|367682[367682]:367792[367792]:111[111]|367887[367890]:368009[368009]:123[120]
0	166804-2068	0	3021	-1	478073at33208_118797_0:003573|OV277441.1|-|537|9.74e-156|5|164737|166804|166804[166804]:166646[166646]:159[159]|166565[166562]:166422[166422]:144[141]|166326[166326]:166105[166105]:222[222]|165278[165233]:165084[165084]:195[150]|164892[164865]:164737[164737]:156[129]
0	713908-814	0	3029	-1	339127at33208_13735_0:001084|OV277441.1|-|210|2.663e-57|2|713095|713908|713908[713908]:713735[713735]:174[174]|713664[713661]:713095[713095]:570[567]
0	88974+96	0	3592	1	560453at33208_8897_0:003288|OV277441.1|+|51|1.946e-09|1|88974|89069|88974[88974]:89069[89069]:96[96]
0	676779-1909	0	4599	-1	393219at33208_62698_0:001a40|OV277441.1|-|774|4.41e-227|5|674871|676779|676779[676779]:675991[675991]:789[789]|675921[675918]:675811[675811]:111[108]|675715[675691]:675320[675320]:396[372]|675258[675240]:675121[675121]:138[120]|675047[675041]:674871[674871]:177[171]
