0	1051718+627	0	86	1	278518at32523_185453_0:001a50|OV277441.1|+|173|2.852e-46|1|1051718|1052344|1051718[1051718]:1052344[1052344]:627[627]
0	3115838+46284	0	203	1	39553at32523_9646_0:001ff9|OV277441.1|+|1913|0|18|3115838|3162121|3115838[3115838]:3116176[3116176]:339[339]|3131748[3131751]:3131879[3131879]:132[129]|3138547[3138559]:3138732[3138732]:186[174]|3140772[3140775]:3140909[3140909]:138[135]|3141636[3141636]:3141773[3141773]:138[138]|3142566[3142569]:3142655[3142655]:90[87]|3143347[3143347]:3143505[3143505]:159[159]|3144110[3144122]:3144235[3144235]:126[114]|3144356[3144362]:3144478[3144478]:123[117]|3147001[3147004]:3147138[3147138]:138[135]|3148507[3148510]:3148692[3148692]:186[183]|3149735[3149735]:3149896[3149896]:162[162]|3153386[3153389]:3153511[3153511]:126[123]|3155262[3155295]:3155459[3155459]:198[165]|3157244[3157259]:3157393[3157393]:150[135]|3160827[3160833]:3160931[3160931]:105[99]|3161582[3161582]:3161779[3161779]:198[198]|3162014[3162014]:3162121[3162121]:108[108]
0	1669657+497	0	257	1	201024at32523_74533_0:0002d2|OV277441.1|+|157|1.869e-41|2|1669657|1670153|1669657[1669657]:1669776[1669776]:120[120]|1670004[1670010]:1670153[1670153]:150[144]
0	1629956+1188	0	525	1	201024at32523_34882_0:00184e|OV277441.1|+|807|4.001e-237|1|1629956|1631143|1629956[1629956]:1631143[1631143]:1188[1188]
0	914044+7785	0	540	1	116580at32523_62698_0:001a5b|OV277441.1|+|975|1.069e-287|9|914044|921828|914044[914044]:914187[914187]:144[144]|916564[916564]:916692[916692]:129[129]|917587[917605]:917652[917652]:66[48]|919792[919813]:919989[919989]:198[177]|920254[920254]:920511[920511]:258[258]|920600[920600]:920791[920791]:192[192]|920929[920932]:921069[921069]:141[138]|921194[921209]:921442[921442]:249[234]|921529[921532]:921828[921828]:300[297]
0	7705091+151060	0	596	1	44355at32523_34882_0:001864|OV277441.1|+|2523|0|15|7705091|7856150|7705091[7705091]:7705267[7705267]:177[177]|7717957[7717966]:7718220[7718220]:264[255]|7741669[7741672]:7741860[7741860]:192[189]|7743618[7743627]:7743776[7743776]:159[150]|7748708[7748714]:7750171[7750171]:1464[1458]|7750955[7750961]:7751188[7751188]:234[228]|7765976[7765976]:7766062[7766062]:87[87]|7767847[7767847]:7767999[7767999]:153[153]|7769486[7769489]:7769665[7769665]:180[177]|7787735[7787741]:7787824[7787824]:90[84]|7812972[7812981]:7813136[7813136]:165[156]|7823168[7823186]:7823287[7823287]:120[102]|7830091[7830091]:7830264[7830264]:174[174]|7832802[7832844]:7832936[7832936]:135[93]|7855911[7855917]:7856150[7856150]:240[234]
0	2721895-49181	0	803	-1	24294at32523_29088_0:002177|OV277441.1|-|2342|0|22|2672715|2721895|2721895[2721895]:2721797[2721797]:99[99]|2715789[2715783]:2715520[2715520]:270[264]|2714642[2714639]:2714529[2714529]:114[111]|2712246[2712243]:2712100[2712100]:147[144]|2709448[2709448]:2709335[2709335]:114[114]|2705309[2705306]:2705187[2705187]:123[120]|2704888[2704855]:2704640[2704640]:249[216]|2701379[2701376]:2701260[2701260]:120[117]|2698754[2698751]:2698596[2698596]:159[156]|2697645[2697627]:2697529[2697529]:117[99]|2695480[2695474]:2695373[2695373]:108[102]|2693509[2693509]:2692967[2692967]:543[543]|2689454[2689451]:2689194[2689194]:261[258]|2688448[2688445]:2688275[2688275]:174[171]|2687192[2687189]:2687061[2687061]:132[129]|2684473[2684473]:2684363[2684363]:111[111]|2681820[2681793]:2681656[2681656]:165[138]|2679396[2679396]:2679244[2679244]:153[153]|2678166[2678160]:2678023[2678023]:144[138]|2673433[2673433]:2673317[2673317]:117[117]|2673234[2673231]:2673076[2673076]:159[156]|2672915[2672894]:2672715[2672715]:201[180]
0	2632630+24828	0	809	1	69748at32523_34882_0:0018b6|OV277441.1|+|1512|0|7|2632630|2657457|2632630[2632630]:2632884[2632884]:255[255]|2649919[2649922]:2650110[2650110]:192[189]|2651888[2651891]:2652070[2652070]:183[180]|2652427[2652466]:2653497[2653497]:1071[1032]|2653782[2653785]:2653883[2653883]:102[99]|2654905[2654908]:2655138[2655138]:234[231]|2657092[2657122]:2657457[2657457]:366[336]
0	987904-15909	0	1015	-1	155190at32523_29088_0:00220b|OV277441.1|-|1193|0|11|971996|987904|987904[987904]:987419[987419]:486[486]|976419[976413]:976315[976315]:105[99]|975972[975972]:975883[975883]:90[90]|975394[975391]:975005[975005]:390[387]|974785[974785]:974648[974648]:138[138]|973931[973931]:973881[973881]:51[51]|973474[973474]:973334[973334]:141[141]|973182[973179]:972751[972751]:432[429]|972631[972631]:972494[972494]:138[138]|972486[972444]:972289[972289]:198[156]|972184[972178]:971996[971996]:189[183]
0	2554652+1068	0	1054	1	189423at32523_9668_0:000a0b|OV277441.1|+|691|3.324e-202|1|2554652|2555719|2554652[2554652]:2555719[2555719]:1068[1068]
0	1077036+77497	0	1614	1	106993at32523_9668_0:0045c3|OV277441.1|+|1321|0|7|1077036|1154532|1077036[1077036]:1077083[1077083]:48[48]|1078342[1078345]:1079655[1079655]:1314[1311]|1080729[1080735]:1081043[1081043]:315[309]|1135599[1135599]:1135796[1135796]:198[198]|1140734[1140740]:1140793[1140793]:60[54]|1140899[1140914]:1141237[1141237]:339[324]|1154308[1154308]:1154532[1154532]:225[225]
